[2025-02-03 17:06:06,036 web_scraper.py->__init__():65]INFO: LinkedIn Scraper Class Initiated
[2025-02-03 17:06:47,154 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,154 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,154 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,187 web_scraper.py->download_image():434]INFO: Downloaded: 5_1737635022735.png
[2025-02-03 17:06:47,225 web_scraper.py->download_image():434]INFO: Downloaded: 5_1737635022675.png
[2025-02-03 17:06:47,261 web_scraper.py->download_image():434]INFO: Downloaded: 5_1737635023231.png
[2025-02-03 17:06:47,295 web_scraper.py->download_image():434]INFO: Downloaded: 5_1737635023102.png
[2025-02-03 17:06:47,296 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:47,296 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:47,297 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:47,297 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:47,298 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,298 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,298 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,298 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,298 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:47,556 web_scraper.py->download_image():434]INFO: Downloaded: 7_1734086237986.png
[2025-02-03 17:06:47,808 web_scraper.py->download_image():434]INFO: Downloaded: 7_1734086237093.png
[2025-02-03 17:06:48,150 web_scraper.py->download_image():434]INFO: Downloaded: 7_1734086238947.png
[2025-02-03 17:06:48,437 web_scraper.py->download_image():434]INFO: Downloaded: 7_1734086239665.png
[2025-02-03 17:06:48,438 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:48,438 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:48,438 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:48,438 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:48,439 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,439 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:48,440 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:48,440 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:48,440 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:48,441 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,441 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,441 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,441 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,441 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,478 web_scraper.py->download_image():434]INFO: Downloaded: 11_1732882868948.png
[2025-02-03 17:06:48,508 web_scraper.py->download_image():434]INFO: Downloaded: 11_1732882869469.png
[2025-02-03 17:06:48,540 web_scraper.py->download_image():434]INFO: Downloaded: 11_1732882869496.png
[2025-02-03 17:06:48,573 web_scraper.py->download_image():434]INFO: Downloaded: 11_1732882869324.png
[2025-02-03 17:06:48,575 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:48,575 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:48,576 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:48,576 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:48,577 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,578 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:48,578 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:48,579 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:48,579 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:48,580 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,580 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,580 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,580 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,581 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,619 web_scraper.py->download_image():434]INFO: Downloaded: 15_1732263433124.png
[2025-02-03 17:06:48,656 web_scraper.py->download_image():434]INFO: Downloaded: 15_1732263433871.png
[2025-02-03 17:06:48,699 web_scraper.py->download_image():434]INFO: Downloaded: 15_1732263432895.png
[2025-02-03 17:06:48,732 web_scraper.py->download_image():434]INFO: Downloaded: 15_1732263433266.png
[2025-02-03 17:06:48,733 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:48,733 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:48,734 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:48,734 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:48,735 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,736 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:48,736 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:48,737 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:48,737 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:48,738 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,738 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,738 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,738 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,738 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,770 web_scraper.py->download_image():434]INFO: Downloaded: 19_1728458998048.png
[2025-02-03 17:06:48,803 web_scraper.py->download_image():434]INFO: Downloaded: 19_1728458998864.png
[2025-02-03 17:06:48,858 web_scraper.py->download_image():434]INFO: Downloaded: 19_1728458999815.png
[2025-02-03 17:06:48,890 web_scraper.py->download_image():434]INFO: Downloaded: 19_1728458999912.png
[2025-02-03 17:06:48,891 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:48,891 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:48,892 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:48,892 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:48,893 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,893 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,893 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,893 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,893 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:48,930 web_scraper.py->download_image():434]INFO: Downloaded: 21_1728474811626.png
[2025-02-03 17:06:48,966 web_scraper.py->download_image():434]INFO: Downloaded: 21_1728474811765.png
[2025-02-03 17:06:49,003 web_scraper.py->download_image():434]INFO: Downloaded: 21_1728474811958.png
[2025-02-03 17:06:49,047 web_scraper.py->download_image():434]INFO: Downloaded: 21_1728474813087.png
[2025-02-03 17:06:49,048 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:49,048 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:49,049 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:49,049 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:49,050 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:49,050 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:49,050 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:49,050 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:49,050 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:49,226 web_scraper.py->download_image():434]INFO: Downloaded: 23_1727974406783.png
[2025-02-03 17:06:49,546 web_scraper.py->download_image():434]INFO: Downloaded: 23_1727974415001.png
[2025-02-03 17:06:50,019 web_scraper.py->download_image():434]INFO: Downloaded: 23_1727974422689.png
[2025-02-03 17:06:50,631 web_scraper.py->download_image():434]INFO: Downloaded: 23_1727974429975.png
[2025-02-03 17:06:50,632 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:50,632 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:50,633 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:50,633 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:50,634 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,634 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,634 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,634 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,634 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,688 web_scraper.py->download_image():434]INFO: Downloaded: 25_1727428838748.png
[2025-02-03 17:06:50,727 web_scraper.py->download_image():434]INFO: Downloaded: 25_1727428837946.png
[2025-02-03 17:06:50,759 web_scraper.py->download_image():434]INFO: Downloaded: 25_1727428837932.png
[2025-02-03 17:06:50,792 web_scraper.py->download_image():434]INFO: Downloaded: 25_1727428838537.png
[2025-02-03 17:06:50,793 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:50,794 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:50,794 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:50,795 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:50,795 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,795 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,796 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,796 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,796 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,825 web_scraper.py->download_image():434]INFO: Downloaded: 27_1726836477345.png
[2025-02-03 17:06:50,856 web_scraper.py->download_image():434]INFO: Downloaded: 27_1726836476720.png
[2025-02-03 17:06:50,887 web_scraper.py->download_image():434]INFO: Downloaded: 27_1726836476705.png
[2025-02-03 17:06:50,927 web_scraper.py->download_image():434]INFO: Downloaded: 27_1726836476442.png
[2025-02-03 17:06:50,928 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:50,928 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:50,928 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:50,929 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:50,929 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,930 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,930 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,930 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,930 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:50,960 web_scraper.py->download_image():434]INFO: Downloaded: 29_1725604185534.png
[2025-02-03 17:06:50,991 web_scraper.py->download_image():434]INFO: Downloaded: 29_1725604185742.png
[2025-02-03 17:06:51,036 web_scraper.py->download_image():434]INFO: Downloaded: 29_1725604185076.png
[2025-02-03 17:06:51,097 web_scraper.py->download_image():434]INFO: Downloaded: 29_1725604186741.png
[2025-02-03 17:06:51,098 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:51,098 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:51,099 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:51,099 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:51,100 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,100 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,100 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,100 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,100 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,136 web_scraper.py->download_image():434]INFO: Downloaded: 31_1723197874732.png
[2025-02-03 17:06:51,176 web_scraper.py->download_image():434]INFO: Downloaded: 31_1723197875671.png
[2025-02-03 17:06:51,209 web_scraper.py->download_image():434]INFO: Downloaded: 31_1723197874939.png
[2025-02-03 17:06:51,242 web_scraper.py->download_image():434]INFO: Downloaded: 31_1723197875410.png
[2025-02-03 17:06:51,242 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:51,243 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:51,243 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:51,243 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:51,244 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,244 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,244 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,244 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,244 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,274 web_scraper.py->download_image():434]INFO: Downloaded: 33_1722603743360.png
[2025-02-03 17:06:51,306 web_scraper.py->download_image():434]INFO: Downloaded: 33_1722603742185.png
[2025-02-03 17:06:51,335 web_scraper.py->download_image():434]INFO: Downloaded: 33_1722603743213.png
[2025-02-03 17:06:51,367 web_scraper.py->download_image():434]INFO: Downloaded: 33_1722603743030.png
[2025-02-03 17:06:51,368 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:51,369 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:51,370 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:51,370 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:51,370 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,371 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,371 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,371 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,371 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,402 web_scraper.py->download_image():434]INFO: Downloaded: 35_1721982010111.png
[2025-02-03 17:06:51,440 web_scraper.py->download_image():434]INFO: Downloaded: 35_1721982010343.png
[2025-02-03 17:06:51,484 web_scraper.py->download_image():434]INFO: Downloaded: 35_1721982010284.png
[2025-02-03 17:06:51,511 web_scraper.py->download_image():434]INFO: Downloaded: 35_1721982010305.png
[2025-02-03 17:06:51,512 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:51,513 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:51,514 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:51,514 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:51,515 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,515 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,549 web_scraper.py->download_image():434]INFO: Downloaded: 37_1734960306940.png
[2025-02-03 17:06:51,551 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:51,552 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:51,553 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:51,553 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:51,554 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,554 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,554 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,554 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,554 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,589 web_scraper.py->download_image():434]INFO: Downloaded: 39_1721380723655.png
[2025-02-03 17:06:51,627 web_scraper.py->download_image():434]INFO: Downloaded: 39_1721380723696.png
[2025-02-03 17:06:51,661 web_scraper.py->download_image():434]INFO: Downloaded: 39_1721380723645.png
[2025-02-03 17:06:51,695 web_scraper.py->download_image():434]INFO: Downloaded: 39_1721380723481.png
[2025-02-03 17:06:51,696 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:51,696 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:51,696 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:51,697 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:51,697 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,697 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,698 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,698 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,698 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,729 web_scraper.py->download_image():434]INFO: Downloaded: 41_1721048271355.png
[2025-02-03 17:06:51,762 web_scraper.py->download_image():434]INFO: Downloaded: 41_1721048271403.png
[2025-02-03 17:06:51,793 web_scraper.py->download_image():434]INFO: Downloaded: 41_1721048271200.png
[2025-02-03 17:06:51,862 web_scraper.py->download_image():434]INFO: Downloaded: 41_1721048271030.png
[2025-02-03 17:06:51,863 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:51,863 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:51,864 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:51,864 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:51,864 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,864 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,864 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,865 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,865 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:51,901 web_scraper.py->download_image():434]INFO: Downloaded: 43_1718957337003.png
[2025-02-03 17:06:51,955 web_scraper.py->download_image():434]INFO: Downloaded: 43_1718957336688.png
[2025-02-03 17:06:51,996 web_scraper.py->download_image():434]INFO: Downloaded: 43_1718957338242.png
[2025-02-03 17:06:52,038 web_scraper.py->download_image():434]INFO: Downloaded: 43_1718957337989.png
[2025-02-03 17:06:52,039 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:52,040 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:52,041 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:52,041 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:52,042 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,043 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:52,043 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:52,044 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:52,044 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:52,046 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,046 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,046 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,046 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,047 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,082 web_scraper.py->download_image():434]INFO: Downloaded: 47_1718347551239.png
[2025-02-03 17:06:52,111 web_scraper.py->download_image():434]INFO: Downloaded: 47_1718347552270.png
[2025-02-03 17:06:52,145 web_scraper.py->download_image():434]INFO: Downloaded: 47_1718347551827.png
[2025-02-03 17:06:52,189 web_scraper.py->download_image():434]INFO: Downloaded: 47_1718347551246.png
[2025-02-03 17:06:52,190 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:52,191 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:52,192 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:52,192 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:52,193 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,193 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,193 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,193 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,194 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,228 web_scraper.py->download_image():434]INFO: Downloaded: 49_1718181796749.png
[2025-02-03 17:06:52,259 web_scraper.py->download_image():434]INFO: Downloaded: 49_1718181811432.png
[2025-02-03 17:06:52,290 web_scraper.py->download_image():434]INFO: Downloaded: 49_1718181796385.png
[2025-02-03 17:06:52,324 web_scraper.py->download_image():434]INFO: Downloaded: 49_1718181799844.png
[2025-02-03 17:06:52,325 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:06:52,326 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:06:52,326 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:06:52,327 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:06:52,327 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,327 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,328 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,328 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:06:52,328 web_scraper.py->is_valid_image():394]INFO: Image is Valid
